perm_rank,feature,perm_importance_mean,perm_importance_std,gini_importance,cluster,is_cluster_representative
1,FZ-CZ_std,0.225646,0.006108,0.044912,3,1
2,T7-P7_delta_power,0.166780,0.004742,0.084443,1,1
3,T7-P7_theta_power,0.153411,0.003500,0.074430,9,1
4,T8-P8_beta_power,0.150990,0.006132,0.035706,8,1
5,T8-P8_theta_power,0.140086,0.003967,0.038190,11,1
6,T8-P8_broadband_power,0.127172,0.005912,0.034094,12,1
7,T8-P8_gamma_low_power,0.115895,0.005532,0.040245,8,0
8,T8-P8_delta_power,0.085687,0.004579,0.037863,2,1
9,T7-P7_beta_power,0.069643,0.005281,0.049573,7,1
10,FZ-CZ_peak_to_peak,0.068318,0.004202,0.041408,3,0
11,FZ-CZ_theta_power,0.051709,0.004066,0.017105,5,1
12,FZ-CZ_hjorth_mobility,0.038466,0.004723,0.040422,19,1
13,T7-P7_broadband_power,0.029641,0.003361,0.056502,10,1
14,FZ-CZ_beta_power,0.026801,0.004404,0.036573,6,1
15,FZ-CZ_zero_crossing_rate,0.022408,0.003105,0.032009,19,0
16,T7-P7_gamma_low_power,0.022208,0.002775,0.037334,7,0
17,FZ-CZ_beta_gamma_ratio,0.018000,0.001902,0.043433,14,1
18,FZ-CZ_gamma_low_power,0.013726,0.001260,0.029774,13,1
19,FZ-CZ_delta_power,0.003062,0.002833,0.030188,4,1
20,FZ-CZ_skewness,0.000402,0.000658,0.011386,21,1
21,FZ-CZ_hjorth_activity,-0.000000,0.000000,0.000000,3,0
22,FZ-CZ_theta_beta_ratio,-0.000068,0.000525,0.013088,16,1
23,FZ-CZ_broadband_power,-0.005082,0.001631,0.027973,4,0
24,FZ-CZ_delta_theta_ratio,-0.007101,0.000834,0.018710,18,1
25,FZ-CZ_slow_fast_ratio,-0.008154,0.000681,0.025766,17,1
26,FZ-CZ_delta_relative_power,-0.010247,0.001053,0.025563,18,0
27,FZ-CZ_gamma_relative_power,-0.011068,0.001557,0.037848,15,1
28,FZ-CZ_hjorth_complexity,-0.011830,0.001343,0.035463,20,1
